ID,Population,Individual,LGRScaleGeneticsIDLink,DateSampled,PhenotypicSex,Length,Clip,Wire,PIT,Disposition,GenComments,GenSex,GenPa,GenMa,PopName,agePBT,GSIRepUnit,RepUnitProb,ReleaseGroup,Age,Origin,Rear,HaulTo,Pooled FL
1717,OtsLGRF25S,OtsLGRF25S_2791,C-02791,02-Sep-25,F,89,AI,NA,3DD.007774E48A,BS;RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.4,,,LyonsFerryHatchery,92
1917,OtsLGRF25S,OtsLGRF25S_3151,C-03151,04-Sep-25,M,53,AI,NA,NA,RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.1,,,,57
1925,OtsLGRF25S,OtsLGRF25S_3171,C-03171,04-Sep-25,M,64,AI,NA,NA,RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.2,,,,67
2025,OtsLGRF25S,OtsLGRF25S_3381,C-03381,04-Sep-25,M,73,AI,NA,3DD.0077640361,BS;RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.2,,,LyonsFerryHatchery,77
2173,OtsLGRF25S,OtsLGRF25S_3651,C-03651,05-Sep-25,F,80,AI,NA,3DD.00776639F1,BS;RR,NA,F,NA,NA,Unassigned,,FALL,1,NA,0.4,,,LyonsFerryHatchery,82
2239,OtsLGRF25S,OtsLGRF25S_3771,C-03771,06-Sep-25,F,77,AI,NA,3DD.0078EDF3E2,BS;RR,NA,F,NA,NA,Unassigned,,FALL,1,NA,0.3,,,LyonsFerryHatchery,77
2240,OtsLGRF25S,OtsLGRF25S_3781,C-03781,06-Sep-25,M,69,AI,NA,NA,RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.4,,,,72
2303,OtsLGRF25S,OtsLGRF25S_3911,C-03911,06-Sep-25,F,75,AI,NA,3DD.0078EDF40F,BS;RR,NA,F,NA,NA,Unassigned,,FALL,1,NA,0.3,,,LyonsFerryHatchery,77
2452,OtsLGRF25S,OtsLGRF25S_4211,C-04211,08-Sep-25,M,89,AI,NA,3DD.0078EDF7D7,BS;RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,1.3,H,RR,LyonsFerryHatchery,92
2632,OtsLGRF25S,OtsLGRF25S_4603,C-04603,10-Sep-25,F,73,AI,NA,3DD.0078EDF3B4,BS;RR,NA,F,NA,NA,Unassigned,,FALL,1,NA,0.3,,,LyonsFerryHatchery,77
2633,OtsLGRF25S,OtsLGRF25S_4605,C-04605,10-Sep-25,M,73,AI,NA,3DD.0078EDF39E,BS;RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.3,,,LyonsFerryHatchery,77
2648,OtsLGRF25S,OtsLGRF25S_4625,C-04625,10-Sep-25,F,72,AI,NA,3DD.0078EDF3D7,BS;RR,NA,F,NA,NA,Unassigned,,FALL,1,NA,0.3,,,LyonsFerryHatchery,72
2650,OtsLGRF25S,OtsLGRF25S_4629,C-04629,10-Sep-25,F,63,AI,NA,NA,RR,NA,F,NA,NA,Unassigned,,FALL,1,NA,0.2,,,,67
2656,OtsLGRF25S,OtsLGRF25S_4637,C-04637,10-Sep-25,F,67,AI,NA,NA,RR,NA,F,NA,NA,Unassigned,,FALL,1,NA,0.2,,,,67
2674,OtsLGRF25S,OtsLGRF25S_4665,C-04665,10-Sep-25,F,72,AI,NA,3DD.0078EDF37A,BS;RR,NA,F,NA,NA,Unassigned,,FALL,1,NA,0.4,,,LyonsFerryHatchery,72
2685,OtsLGRF25S,OtsLGRF25S_4681,C-04681,10-Sep-25,M,63,AI,NA,NA,RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.2,,,,67
